invoice_id;customer_name;IBAN;total_amount;currency;issue_date
INV-2024-101;Max Müller;DE89370400440532013000;129.99;USD;2026-01-12
INV-2024-102;Anna Schmidt;DE12500105175407324931;458.20;EUR;2026-02-03
INV-2024-103;Leon Weber;DE44100208907654321011;79.50;EUR;2026-02-18
INV-2024-104;Sofia Fischer;DE89370400440532013000;299.99;GBP;2026-03-05
INV-2024-105;Paul Wagner;DE12500105175407324931;149.75;USD;2026-03-20
INV-2024-106;Mia Becker;DE44100208907654321011;89.90;CHF;2026-04-10
INV-2024-107;Lukas Hoffmann;DE89370400440532013000;199.99;EUR;2026-04-25
INV-2024-108;Julia Klein;DE12500105175407324931;249.50;EUR;2026-05-10
INV-2024-109;Timothy Bauer;DE44100208907654321011;129.99;EUR;2026-05-20
INV-2024-110;Laura Zimmermann;DE89370400440532013000;349.99;EUR;2026-02-01
